,Unnamed: 0,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,KID,BJD,Per,Type,Kmag,Teff,log(g),E(B-V),Crowd,T2/T1,q,F,r1+r2,esinw,ecosw,sini,ecc,porb_prot
1983,1983,10874926,11.703,sp,16.674,0.456,14.752,17.74,18.392,22.706,0.015,0.023,0.021,0.011,,10874926.0,55001.80856,11.69219,D,15.003,5737,4.587,0.133,0.105,0.77979,,,0.03117,-0.13902,-0.46873,0.99771,0.4889114166185936,0.7018711766822598
1995,1995,10923260,7.436,sp,4.598,1.138,4.553,4.72,,,0.087,0.037,,,,10923260.0,54976.95593,14.87512,D,14.546,5970,4.518,0.126,0.071,0.81235,,,0.5083,-0.45419,0.09398,0.99361,0.46381116469960054,1.6172248803827751
2000,2000,10935310,4.129,sp,3.985,0.879,3.945,3.959,,,0.12,0.213,,,,10935310.0,54965.5802,4.12892,D,13.1,5669,4.308,0.093,0.013,0.5965,,,0.10881,0.04452,-0.35923,0.99441,0.3619782083219928,1.0361355081555834
2001,2001,10936427,14.361,sp,16.919,0.816,16.644,17.794,,,0.304,0.21,,,,10936427.0,54971.84796,14.3647,D,14.419,5082,4.608,0.084,0.41,0.41378,,,0.50598,-0.28826,-0.38036,0.95454,0.4772499944473546,0.8488090312666233
2006,2006,10965963,6.64,sp,6.437,0.658,6.225,6.64,,,0.067,0.042,,,,10965963.0,54965.78,6.64011,D,13.881,5814,4.302,0.106,0.0,0.92823,,,0.10257,-0.15426,0.25622,0.99998,0.29907329536419663,1.0315364300139815
2009,2009,10979716,10.684,sp,13.486,1.397,,,,,,,,,,10979716.0,54967.09791,10.68155,D,15.774,3932,4.605,0.05,0.316,0.87464,,,0.05211,0.20607,-0.55608,1.00423,0.59303440987855,0.7922289781996144
2010,2010,10987439,10.675,sp,13.548,0.369,13.327,14.678,,,0.179,0.092,,,,10987439.0,54971.885,10.67157,D,10.81,6182,4.095,0.061,0.008,0.84188,,,0.07691,-0.12476,0.27829,0.9976,0.3049760346322314,0.7879391792146443
2012,2012,10991989,0.974,sp,0.96,0.418,0.961,0.963,0.971,0.98,0.02,0.048,0.039,0.029,,10991989.0,54965.37195,0.97412,D,10.282,5021,2.673,0.119,0.005,0.57379,,,0.20308,-0.36407,-0.44034,0.99304,0.5713547763867911,1.0145833333333334
2013,2013,10992733,18.526,sp,15.468,0.668,15.634,15.904,,,0.118,0.267,,,,10992733.0,54977.1935,18.56672,D,15.124,5274,4.543,0.121,0.122,0.92117,,,0.06985,0.30366,0.33748,0.99418,0.4539847420343551,1.1976984742694594
2017,2017,11021252,3.269,sp,3.228,1.248,3.171,3.271,,,0.067,0.081,,,,11021252.0,54966.2601,3.26874,D,14.966,6165,4.466,0.133,0.044,0.46506,,,0.14844,-0.19164,0.48945,0.98661,0.5256302808058151,1.0127013630731103
2024,2024,11073223,11.579,sp,6.886,0.733,6.752,6.967,7.164,7.247,0.056,0.054,0.037,0.044,,11073223.0,54964.79083,11.57935,D,15.003,5800,4.352,0.128,0.104,0.86055,,,0.08697,0.29966,0.19175,0.99477,0.3557585952580766,1.6815277374382807
2025,2025,11076176,0.7,sp,0.695,0.643,,,,,,,,,,11076176.0,54967.6407,0.69998,SD,15.667,5034,4.616,0.105,0.096,0.44541,,,0.58533,-0.03759,0.11699,1.00156,0.12288070719197541,1.0071942446043165
2032,2032,11099351,2.378,sp,2.35,1.233,2.35,2.367,2.378,2.389,0.34,0.106,0.042,0.102,,11099351.0,54965.5596,2.3776,D,11.639,9353,4.099,0.172,0.006,0.64626,,,0.13463,-0.28245,-0.47156,0.99735,0.5496788481468066,1.0119148936170212
2034,2034,11124509,8.893,sp,12.342,0.862,11.522,11.905,14.508,,0.09,0.043,0.1,,,11124509.0,54968.7301,8.89327,D,14.735,5417,4.497,0.099,0.011,0.77882,,,0.07762,0.08863,0.48062,0.9985,0.48872370650501495,0.72054772322152
2036,2036,11134079,1.261,sp,1.267,1.411,1.253,1.256,1.262,1.267,0.082,0.098,0.06,0.042,,11134079.0,54965.0613,1.20281,D,14.864,5201,4.581,0.096,0.073,1.03026,,,0.15167,-0.29795,-0.54251,1.00001,0.6189436990550918,0.9952644041041832
2040,2040,11147276,3.133,sp,3.085,1.318,3.052,3.106,,,0.089,0.075,,,,11147276.0,54967.10364,3.13307,D,13.984,5656,4.479,0.104,0.083,0.72757,,,0.1014,-0.20427,0.5,0.99546,0.5401168696680376,1.0155591572123177
2041,2041,11147460,4.108,sp,4.536,0.029,0.729,0.73,0.835,0.838,0.004,0.001,0.001,0.001,b,11147460.0,54965.94788,4.10743,D,13.912,4855,3.229,0.186,0.192,0.90719,,,0.18686,-0.04103,-0.08068,0.99569,0.09051366360942419,0.9056437389770723
2046,2046,11182260,1.292,sp,1.287,1.318,1.285,1.294,,,0.413,0.186,,,,11182260.0,54968.2178,1.29198,D,13.238,4842,4.227,0.064,0.022,0.94117,,,0.47194,-0.20961,-0.41821,0.96471,0.4677990553645871,1.003885003885004
2049,2049,11193447,0.626,sp,0.633,0.713,,,,,,,,,,11193447.0,54964.6179,0.62581,SD,13.397,,,,0.038,0.83652,,,0.58514,-0.05947,0.00193,1.00268,0.059501309229293434,0.9889415481832543
2053,2053,11198723,6.84,sp,7.254,1.03,6.837,7.283,8.722,,0.037,0.028,0.069,,,11198723.0,55004.77508,6.84028,D,15.445,5714,4.669,0.137,0.117,0.86295,,,0.09015,0.03585,0.40557,0.99578,0.40715138142956114,0.9429280397022333
2055,2055,11200773,2.49,sp,2.472,0.981,2.463,2.496,,,0.11,0.072,,,,11200773.0,54965.0423,2.48945,D,13.669,5780,4.575,0.091,0.575,0.45247,,,0.15785,-0.24803,0.49816,0.98251,0.5564910300265404,1.0072815533980584
2056,2056,11228612,2.98,sp,2.963,1.018,2.946,2.953,,,0.236,0.105,,,,11228612.0,54997.20696,2.98038,D,14.647,5829,4.378,0.113,0.068,0.41385,,,0.17871,-0.15513,-0.25248,0.99343,0.29632999730030707,1.0057374282821465
2059,2059,11232745,9.634,sp,13.037,1.01,12.727,13.481,,,0.074,0.091,,,,11232745.0,54970.91846,9.63489,D,15.973,5204,4.619,0.114,0.056,0.71591,,,0.03325,0.26235,-0.44244,0.99927,0.5143740624292792,0.7389736902661656
2060,2060,11233911,4.96,sp,4.843,1.003,4.772,4.848,,,0.058,0.119,,,,11233911.0,54969.12359,4.95964,D,14.742,5193,4.534,0.091,0.02,0.76784,,,0.18829,-0.19147,-0.50051,0.99727,0.5358834024300435,1.0241585793929382
2061,2061,11234677,1.587,sp,1.594,0.375,1.584,1.588,1.609,1.63,0.027,0.08,0.025,0.014,,11234677.0,54964.99188,1.58725,D,13.296,6183,4.304,0.101,0.122,0.68585,,,0.27069,0.05132,-0.00148,0.97027,0.05134133617271759,0.9956085319949811
